symbol,name,grade,entry_yield,add_yield,heavy_yield,avg_dps_3y,enabled,updated_at
000333.SZ,美的集团,S,4.5,5.0,5.5,3.6,true,2026-08-22T10:54:24+08:00
600036.SH,招商银行,S,5.0,5.5,6.0,1.9959999999999998,true,2026-08-22T10:54:24+08:00
600066.SH,宇通客车,S,5.5,6.0,7.0,1.8333333333333333,true,2026-08-22T10:54:24+08:00
600519.SH,贵州茅台,S,4.0,4.5,5.0,51.17274333333333,true,2026-08-22T10:54:24+08:00
600900.SH,长江电力,S,3.5,4.0,4.5,0.9209999999999999,true,2026-08-22T10:54:24+08:00
600941.SH,中国移动,S,5.5,6.0,6.5,4.5946,true,2026-08-22T10:54:24+08:00
601398.SH,工商银行,S,4.5,5.0,5.5,0.30823333333333336,true,2026-08-22T10:54:24+08:00
601939.SH,建设银行,S,4.5,5.0,5.5,0.3972333333333333,true,2026-08-22T10:54:24+08:00
601988.SH,中国银行,S,4.5,5.0,5.5,0.23503333333333334,true,2026-08-22T10:54:24+08:00
000423.SZ,东阿阿胶,A,3.5,4.0,4.5,2.3031517,true,2026-08-22T10:54:24+08:00
000538.SZ,云南白药,A,4.5,5.0,5.5,2.359,true,2026-08-22T10:54:24+08:00
000568.SZ,泸州老窖,A,6.0,6.5,7.0,5.708359333333333,true,2026-08-22T10:54:24+08:00
000651.SZ,格力电器,A,6.0,6.5,7.0,2.793333333333333,true,2026-08-22T10:54:24+08:00
000858.SZ,五粮液,A,5.0,6.0,7.0,5.190895066666666,true,2026-08-22T10:54:24+08:00
000895.SZ,双汇发展,A,6.0,6.5,7.0,1.4366666666666668,true,2026-08-22T10:54:24+08:00
000921.SZ,海信家电,A,5.0,6.0,7.0,1.1693333333333333,true,2026-08-22T10:54:24+08:00
001286.SZ,陕西能源,A,5.5,6.5,7.5,0.3933333333333333,true,2026-08-22T10:54:24+08:00
002014.SZ,永新股份,A,5.0,5.5,6.0,0.5733333333333334,true,2026-08-22T10:54:24+08:00
002027.SZ,分众传媒,A,5.0,6.0,7.0,0.3333333333333333,true,2026-08-22T10:54:24+08:00
002032.SZ,苏泊尔,A,4.0,4.5,5.0,2.723333333333333,true,2026-08-22T10:54:24+08:00
002128.SZ,电投能源,A,5.5,6.5,7.5,0.9433333333333334,true,2026-08-22T10:54:24+08:00
002867.SZ,周大生,A,6.0,7.0,8.0,0.9333333333333332,true,2026-08-22T10:54:24+08:00
003816.SZ,中国广核,A,3.0,3.5,4.0,0.09166666666666667,true,2026-08-22T10:54:24+08:00
300628.SZ,亿联网络,A,3.5,4.0,4.5,1.7,true,2026-08-22T10:54:24+08:00
600007.SH,中国国贸,A,4.0,4.5,5.0,0.9900000000000001,true,2026-08-22T10:54:24+08:00
600025.SH,华能水电,A,3.0,3.5,4.0,0.19499999999999998,true,2026-08-22T10:54:24+08:00
600028.SH,中国石化,A,6.0,7.0,8.0,0.27699999999999997,true,2026-08-22T10:54:24+08:00
600236.SH,桂冠电力,A,4.0,4.5,5.0,0.23266666666666666,true,2026-08-22T10:54:24+08:00
600285.SH,羚锐制药,A,4.0,4.5,5.0,0.9333333333333335,true,2026-08-22T10:54:24+08:00
600350.SH,山东高速,A,5.0,5.5,6.0,0.42,true,2026-08-22T10:54:24+08:00
600377.SH,宁沪高速,A,4.5,5.0,5.5,0.48333333333333334,true,2026-08-22T10:54:24+08:00
600436.SH,片仔癀,A,2.5,3.0,3.5,2.7533333333333334,true,2026-08-22T10:54:24+08:00
600461.SH,洪城环境,A,5.0,5.5,6.0,0.61291,true,2026-08-22T10:54:24+08:00
600642.SH,申能股份,A,5.0,5.5,6.0,0.4366666666666667,true,2026-08-22T10:54:24+08:00
600674.SH,川投能源,A,3.5,4.0,4.5,0.43333333333333335,true,2026-08-22T10:54:24+08:00
600750.SH,华润江中,A,4.5,5.0,5.5,1.2933333333333332,true,2026-08-22T10:54:24+08:00
600886.SH,国投电力,A,4.0,4.5,5.0,0.48646666666666666,true,2026-08-22T10:54:24+08:00
600887.SH,伊利股份,A,4.5,5.0,5.5,1.2666666666666666,true,2026-08-22T10:54:24+08:00
