futu_code,name,morningstar_fair_value,morningstar_star_rating,analyst_average_target,analyst_count,data_date,source,note
SH.600519,贵州茅台,1680,5,1739,51,2026-07-19,manual,重点A股
SH.688192,迪哲医药,69.74,3,90.12,10,2026-07-19,manual,手工录入
SH.688506,百利天恒,410.65,5,420.65,14,2026-07-19,manual,手工录入
SZ.002422,科伦药业,43.35,3,42.92,17,2026-07-19,manual,手工录入
SH.688266,泽璟制药,171.27,5,128.97,18,2026-07-19,manual,手工录入
SH.688331,荣昌生物,108.75,3,120.28,17,2026-07-19,manual,手工录入
SH.688578,艾力斯,141.02,5,122.73,17,2026-07-19,manual,手工录入
SH.688012,中微公司,312.75,3,375.41,38,2026-07-19,manual,手工录入
SH.600276,恒瑞医药,61.45,4,70.76,34,2026-07-19,manual,重点A股
SH.601899,紫金矿业,24.13,2,41.79,30,2026-07-19,manual,重点A股
SZ.002653,海思科,69.78,3,72.65,15,2026-07-19,manual,手工录入
SZ.002371,北方华创,552.41,3,594.8,41,2026-07-19,manual,重点A股
SH.603986,兆易创新,446.05,3,375.57,42,2026-07-19,manual,重点A股
SZ.000333,美的集团,89,4,94.31,37,2026-07-19,manual,重点A股
SZ.000001,平安银行,14.5,4,14.25,22,2026-07-19,manual,重点A股
SZ.300750,宁德时代,345,3,536.27,42,2026-07-19,manual,重点A股
SZ.300308,中际旭创,730.53,1,895.79,39,2026-07-19,manual,重点A股
SZ.300760, 迈瑞医疗,212.87,3,248.47,39,2026-07-19,manual,重点A股
