排名,登记日,股票,每10股派息,最新股价,本次股息率
1,2026-07-07,601216 君正集团,3.8,4.79,7.9332
2,2026-07-09,600329 达仁堂,23.4,40.09,5.8369
3,2026-07-08,600803 新奥股份,9.6,17.06,5.6272
4,2026-07-09,601098 中南传媒,4.5,10.38,4.3353
5,2026-07-09,002406 远东传动,3.0,7.04,4.2614
6,2026-07-07,002958 青农商行,1.2,2.88,4.1667
7,2026-07-07,600269 赣粤高速,1.7,4.31,3.9443
8,2026-07-08,002027 分众传媒,1.9,5.06,3.7549
9,2026-07-10,600874 创业环保,2.09,5.61,3.7255
10,2026-07-07,920003 中诚咨询,10.0,27.08,3.6928
11,2026-07-09,000411 英特集团,3.54,9.61,3.6837
12,2026-07-08,603053 成都燃气,3.0,8.98,3.3408
13,2026-07-09,002788 鹭燕医药,3.5,10.91,3.2081
14,2026-07-07,601330 绿色动力,2.2,7.19,3.0598
15,2026-07-09,600283 钱江水利,2.5,8.42,2.9691
16,2026-07-07,301019 宁波色母,6.5,21.9,2.968
17,2026-07-09,601006 大秦铁路,1.4169,4.78,2.9642
18,2026-07-08,601366 利群股份,1.0,3.45,2.8986
19,2026-07-09,002101 广东鸿图,2.52,9.26,2.7214
20,2026-07-08,605268 王力安防,2.5,9.45,2.6455
21,2026-07-07,601512 中新集团,2.12,8.12,2.6108
22,2026-07-08,688075 安旭生物,8.0,30.92,2.5873
23,2026-07-07,600848 上海临港,2.0,7.97,2.5094
24,2026-07-08,603585 苏利股份,3.5553,14.37,2.4741
25,2026-07-09,600704 物产中大,1.2,5.04,2.381
26,2026-07-09,301105 鸿铭股份,10.0,45.01,2.2217
27,2026-07-09,003816 中国广核,0.86,3.89,2.2108
28,2026-07-09,601669 中国电建,1.0552,4.83,2.1847
29,2026-07-08,600216 浙江医药,2.8,12.85,2.179
30,2026-07-07,688466 金科环境,2.87,13.34,2.1514
31,2026-07-08,601665 齐鲁银行,1.282,6.03,2.126
32,2026-07-09,600919 江苏银行,2.332,11.4,2.0456
33,2026-07-08,002941 新疆交建,2.0,9.82,2.0367
34,2026-07-07,603357 设计总院,1.3,6.42,2.0249
35,2026-07-08,605050 福然德,2.0,9.98,2.004
36,2026-07-07,000778 新兴铸管,0.75,3.85,1.9481
37,2026-07-08,600827 百联股份,1.5,7.81,1.9206
38,2026-07-07,601965 中国汽研,2.4,12.54,1.9139
39,2026-07-07,002698 博实股份,2.5,13.33,1.8755
40,2026-07-10,300509 新美星,1.6,8.64,1.8519
41,2026-07-07,603486 科沃斯,9.2,52.9,1.7391
42,2026-07-09,300413 芒果超媒,2.6,15.13,1.7184
43,2026-07-09,600938 中国海油,4.7881,28.27,1.6937
44,2026-07-09,002820 桂发祥,1.5,8.91,1.6835
45,2026-07-08,002722 物产金轮,2.1,12.58,1.6693
46,2026-07-09,002423 中粮资本,1.48,8.96,1.6518
47,2026-07-07,688358 祥生医疗,5.8,35.45,1.6361
48,2026-07-07,601615 明阳智能,1.85,11.33,1.6328
49,2026-07-07,000623 吉林敖东,3.0,18.76,1.5991
50,2026-07-08,601628 中国人寿,6.18,38.78,1.5936
51,2026-07-07,002541 鸿路钢构,2.8,18.71,1.4965
52,2026-07-08,002098 浔兴股份,1.0,6.73,1.4859
53,2026-07-08,600531 豫光金铅,2.15,14.57,1.4756
54,2026-07-09,002598 ST章鼓,1.0,6.82,1.4663
55,2026-07-09,601872 招商轮船,2.5,17.68,1.414
56,2026-07-08,300592 华凯易佰,2.5,18.86,1.3256
57,2026-07-08,600668 尖峰集团,1.0,7.75,1.2903
58,2026-07-08,002250 联化科技,2.0,15.56,1.2853
59,2026-07-07,603151 邦基科技,1.5,11.74,1.2777
60,2026-07-09,688410 山外山,2.0,15.69,1.2747
61,2026-07-09,601789 宁波建工,0.5,4.08,1.2255
62,2026-07-09,000407 胜利股份,0.45,3.86,1.1658
63,2026-07-09,688057 金达莱,2.0,17.19,1.1635
64,2026-07-08,603205 健尔康,2.5,21.63,1.1558
65,2026-07-09,000959 首钢股份,0.4,3.59,1.1142
66,2026-07-07,600649 城投控股,0.4,3.63,1.1019
67,2026-07-07,002344 海宁皮城,0.4,3.68,1.087
68,2026-07-07,603590 康辰药业,3.5,33.21,1.0539
69,2026-07-07,002300 太阳电缆,0.7,6.65,1.0526
70,2026-07-07,001296 长江材料,2.0,19.22,1.0406
71,2026-07-09,002983 芯瑞达,2.5,24.36,1.0263
72,2026-07-08,301518 长华化学,2.69,26.46,1.0166
73,2026-07-08,603979 金诚信,6.6,65.14,1.0132
74,2026-07-08,688557 兰剑智能,3.3,32.87,1.004
75,2026-07-07,600697 欧亚集团,1.0,10.17,0.9833
76,2026-07-09,000530 冰山冷热,0.5,5.18,0.9653
77,2026-07-08,301132 满坤科技,4.2,45.06,0.9321
78,2026-07-07,603829 洛凯股份,1.5,16.47,0.9107
79,2026-07-08,600967 内蒙一机,0.99,11.11,0.8911
80,2026-07-09,002130 沃尔核材,1.65,18.52,0.8909
81,2026-07-07,002132 恒星科技,0.5,5.63,0.8881
82,2026-07-09,920351 华光源海,1.0,11.41,0.8764
83,2026-07-08,603969 银龙股份,0.7,8.1,0.8642
84,2026-07-07,688628 优利德,8.0,92.79,0.8622
85,2026-07-09,603999 读者传媒,0.45,5.22,0.8621
86,2026-07-08,000758 中色股份,0.55,6.39,0.8607
87,2026-07-09,301063 海锅股份,1.5,17.59,0.8528
88,2026-07-08,688101 三达膜,1.4,16.92,0.8274
89,2026-07-09,603725 天安新材,1.2,14.6,0.8219
90,2026-07-09,000417 合百集团,0.65,8.03,0.8095
91,2026-07-08,603057 紫燕食品,1.8,23.52,0.7653
92,2026-07-07,300407 凯发电气,0.8,10.55,0.7583
93,2026-07-07,920751 惠同新材,1.5,19.79,0.758
94,2026-07-09,920407 驰诚股份,1.0,13.21,0.757
95,2026-07-08,000060 中金岭南,0.55,7.38,0.7453
96,2026-07-07,300535 达威股份,1.05,14.28,0.7353
97,2026-07-09,002065 东华软件,0.5,6.91,0.7236
98,2026-07-09,920006 晟楠科技,1.1,15.26,0.7208
99,2026-07-07,000668 荣丰控股,1.6,22.25,0.7191
100,2026-07-07,301149 隆华新材,0.8,11.21,0.7136
101,2026-07-07,000800 一汽解放,0.45,6.35,0.7087
102,2026-07-09,301539 宏鑫科技,1.0,14.25,0.7018
103,2026-07-08,600547 山东黄金,1.8,25.8,0.6977
104,2026-07-09,600638 新黄浦,0.31,4.57,0.6783
105,2026-07-08,002748 世龙实业,0.75,11.07,0.6775
106,2026-07-09,300858 科拓生物,1.0,15.49,0.6456
107,2026-07-08,600796 钱江生化,0.31,4.82,0.6432
108,2026-07-08,001390 古麒绒材,1.3,20.23,0.6426
109,2026-07-08,600562 国睿科技,1.52,23.82,0.6381
110,2026-07-08,600798 宁波海运,0.2,3.15,0.6349
111,2026-07-09,300221 银禧科技,1.0,15.86,0.6305
112,2026-07-08,002203 海亮股份,1.28,20.34,0.6293
113,2026-07-08,300357 我武生物,1.5,24.24,0.6188
114,2026-07-07,600163 中闽能源,0.3,5.06,0.5929
115,2026-07-09,300986 志特新材,1.0,17.26,0.5794
116,2026-07-09,600106 重庆路桥,0.26,4.59,0.5664
117,2026-07-10,000957 中通客车,0.5,9.84,0.5081
118,2026-07-09,600495 晋西车轴,0.18,3.55,0.507
119,2026-07-08,601233 桐昆股份,1.2,23.69,0.5065
120,2026-07-07,300984 金沃股份,3.0,59.46,0.5045
121,2026-07-08,300772 运达股份,0.6,11.95,0.5021
122,2026-07-09,603681 永冠新材,1.0,20.64,0.4845
123,2026-07-09,601100 恒立液压,5.6,117.5,0.4766
124,2026-07-08,605198 安德利,3.0,63.14,0.4751
125,2026-07-09,300570 太辰光,10.0,217.56,0.4596
126,2026-07-07,300907 康平科技,2.5,54.5,0.4587
127,2026-07-08,600468 百利电气,0.25,5.48,0.4562
128,2026-07-08,600966 博汇纸业,0.2327,5.2,0.4475
129,2026-07-07,600513 联环药业,0.7,15.95,0.4389
130,2026-07-09,002265 建设工业,0.76,18.59,0.4088
131,2026-07-08,300805 电声股份,0.3,7.42,0.4043
132,2026-07-09,603099 长白山,1.45,35.96,0.4032
133,2026-07-07,002028 思源电气,6.9989,174.2,0.4018
134,2026-07-07,300115 长盈精密,1.2,30.74,0.3904
135,2026-07-09,002526 山东矿机,0.1,2.64,0.3788
136,2026-07-08,603538 美诺华,1.55,41.58,0.3728
137,2026-07-09,300195 长荣股份,0.2,5.4,0.3704
138,2026-07-09,002686 亿利达,0.2,5.43,0.3683
139,2026-07-07,688367 工大高科,1.1,30.78,0.3574
140,2026-07-08,300174 元力股份,1.0,28.27,0.3537
141,2026-07-09,300290 ST荣科,0.15,4.43,0.3386
142,2026-07-09,001389 广合科技,6.4564,191.74,0.3367
143,2026-07-09,300327 中颖电子,1.0,30.83,0.3244
144,2026-07-10,920057 百甲科技,0.15,4.76,0.3151
145,2026-07-07,600834 申通地铁,0.22,7.03,0.3129
146,2026-07-09,002097 山河智能,0.23,7.35,0.3129
147,2026-07-09,301225 恒勃股份,3.0,96.86,0.3097
148,2026-07-07,920088 科力股份,1.0,32.55,0.3072
149,2026-07-09,920699 海达尔,3.8,125.65,0.3024
150,2026-07-07,000591 太阳能,0.1303,4.48,0.2909
151,2026-07-07,300512 中亚股份,0.2,7.01,0.2853
152,2026-07-09,300992 泰福泵业,0.75,26.72,0.2807
153,2026-07-09,600736 苏州高新,0.18,6.64,0.2711
154,2026-07-07,301262 海看股份,0.5,18.84,0.2654
155,2026-07-07,603150 万朗磁塑,1.8,69.66,0.2584
156,2026-07-09,300347 泰格医药,1.26,48.9,0.2577
157,2026-07-10,002161 远望谷,0.1352,5.46,0.2476
